route_short_name,hour,speed
1,19,4.156707520484924
10,19,0.0
100E,19,6.687771856784821
101B,19,6.173327922821045
101E,19,5.401661932468414
102,19,4.887218117713928
104,19,3.0866639614105225
105,19,2.7437012990315757
106,19,2.0577759444713593
107,19,2.7437012990315757
108E,19,0.0
11,19,3.1438244316313
110,19,1.3718506627612643
112,19,5.487402657667796
113,19,3.6011080741882324
114,19,6.842105269432068
117,19,0.0
118,19,4.629995822906494
119,19,2.0577759742736816
12,19,3.94407065709432
120,19,2.7008309960365295
121,19,0.0
122E,19,6.687771797180176
123,19,6.301939010620117
123A,19,0.7716659903526306
124,19,2.700830936431885
125,19,8.359714984893799
126,19,0.0
128,19,4.527107238769531
129,19,2.229257345199585
13,19,0.0
130,19,2.204760023525783
131,19,2.229257265726725
132E,19,3.6011080741882324
133E,19,4.527107286453247
134,19,1.1317768335342409
135,19,3.9440708160400386
136,19,0.3858329951763153
137,19,4.887217998504638
138,19,7.545178651809692
139,19,1.8005540370941162
14,19,2.5722200220281426
140,19,15.94776439666748
140A,19,0.0
140B,19,20.577760696411133
141,19,4.115552043914795
142E,19,3.343886057535807
144,19,2.314997911453247
147,19,4.629995822906494
148,19,3.4173780168805803
149,19,5.487402598063151
15,19,1.586202343304952
150,19,4.336028030940464
151,19,3.3071401119232173
152,19,3.1895527839660645
153,19,3.258145332336426
154,19,4.1155518889427185
155,19,4.801477273305257
156,19,2.5722200870513916
157,19,0.0
157A,19,0.0
158,19,0.0
159,19,2.7437012990315757
16,19,2.572219967842102
160,19,2.9151827494303384
161,19,6.94499397277832
161E,19,5.144440174102783
162,19,4.835773563385009
164,19,5.6588839292526245
165,19,0.0
166,19,1.1574989557266235
168E,19,5.916106104850769
169E,19,4.715736597776413
16A,19,3.858330011367798
17,19,3.000923295815786
170,19,2.229257265726725
172,19,7.545178572336833
173,19,7.202215790748596
175,19,7.030734697977702
176E,19,5.2301807800928755
178,19,0.3858329951763153
179,19,9.259991645812988
181,19,3.472497045993805
182,19,2.186387062072754
182A,19,9.002770185470581
183,19,5.144440174102783
184,19,6.790660858154297
185,19,3.858330011367798
187,19,5.658884048461914
188,19,0.0
188E,19,4.5271071434021
19,19,0.7073604911565781
191,19,5.144440174102783
194,19,2.880886363983154
195,19,5.555995178222656
196,19,3.3953303337097167
196A,19,2.829441994428634
197,19,0.0
198,19,5.45310629606247
1A,19,1.2003693183263142
2,19,3.6011080060686385
200E,19,7.545178731282552
202E,19,1.8005539576212566
204,19,2.3664424896240233
20E,19,3.4296266767713757
21,19,1.8005539576212568
210,19,3.715428908665975
212,19,1.4965644099495627
213,19,3.8068856716156008
216,19,1.8005540370941162
217,19,3.909774398803711
217E,19,0.0
218,19,0.0
219,19,0.0
22,19,9.774436235427856
220,19,2.829442024230957
221,19,6.173328101634979
222,19,3.9440707763036094
223E,19,0.7202215909957885
224,19,2.7265532493591307
224E,19,2.7437012990315757
22A,19,3.007518795820383
23,19,3.013172013419015
230,19,0.0
231,19,12.603878021240234
231B,19,0.0
236,19,11.489249229431152
236A,19,0.0
237,19,4.115552067756653
238,19,4.97295864423116
24,19,2.8294419050216675
240,19,1.0288879871368408
243,19,0.17148133118947348
244,19,3.4982191801071165
25,19,4.887217998504639
250,19,3.498219108581543
251,19,7.716660022735596
251A,19,2.829442024230957
254E,19,4.629995822906494
255E,19,3.858330011367798
257,19,0.8574066956837973
26,19,1.3504154682159424
260,19,0.0
264,19,0.0
266,19,4.629995942115784
268,19,5.658884048461914
269,19,0.0
