service_id,date,exception_type
52986,20250617,1
52986,20250618,1
52987,20250617,1
52987,20250618,1
52987,20250619,1
52988,20250617,1
52988,20250618,1
52988,20250619,1
52988,20250620,1
52989,20250617,1
52989,20250618,1
52989,20250619,1
52989,20250620,1
52989,20250621,1
52989,20250622,1
52989,20250623,1
52990,20250617,1
52990,20250618,1
52990,20250619,1
52990,20250620,1
52990,20250621,1
52990,20250622,1
52990,20250623,1
52990,20250624,1
52990,20250625,1
52990,20250626,1
52990,20250627,1
52990,20250628,1
52990,20250629,1
52990,20250630,1
52991,20250617,1
52991,20250618,1
52991,20250619,1
52991,20250620,1
52991,20250621,1
52991,20250622,1
52991,20250623,1
52991,20250624,1
52991,20250625,1
52991,20250626,1
52991,20250627,1
52991,20250628,1
52991,20250629,1
52991,20250630,1
52991,20250701,1
52991,20250702,1
52991,20250703,1
52991,20250704,1
52991,20250707,1
52992,20250617,1
52992,20250618,1
52992,20250619,1
52992,20250620,1
52992,20250621,1
52992,20250622,1
52992,20250628,1
52992,20250629,1
52993,20250617,1
52993,20250618,1
52993,20250619,1
52993,20250620,1
52993,20250621,1
52993,20250622,1
52993,20250628,1
52993,20250629,1
52993,20250705,1
52993,20250706,1
52994,20250617,1
52994,20250618,1
52994,20250619,1
52994,20250620,1
52994,20250621,1
52994,20250623,1
52995,20250617,1
52995,20250618,1
52995,20250619,1
52995,20250620,1
52995,20250621,1
52995,20250623,1
52995,20250624,1
52995,20250625,1
52995,20250626,1
52995,20250627,1
52995,20250628,1
52995,20250630,1
52996,20250617,1
52996,20250618,1
52996,20250619,1
52996,20250620,1
52996,20250623,1
52997,20250617,1
52997,20250618,1
52997,20250619,1
52997,20250620,1
52997,20250623,1
52997,20250624,1
52997,20250625,1
52997,20250626,1
52997,20250627,1
52998,20250617,1
52998,20250618,1
52998,20250619,1
52998,20250620,1
52998,20250623,1
52998,20250624,1
52998,20250625,1
52998,20250626,1
52998,20250627,1
52998,20250630,1
52999,20250617,1
52999,20250618,1
52999,20250619,1
52999,20250620,1
52999,20250623,1
52999,20250624,1
52999,20250625,1
52999,20250626,1
52999,20250627,1
52999,20250630,1
52999,20250701,1
52999,20250702,1
52999,20250703,1
52999,20250704,1
52999,20250707,1
53000,20250617,1
53000,20250618,1
53000,20250619,1
53000,20250620,1
53000,20250625,1
53000,20250626,1
53000,20250627,1
53001,20250617,1
53001,20250618,1
53001,20250619,1
53001,20250620,1
53001,20250630,1
53002,20250617,1
53002,20250618,1
53002,20250619,1
53002,20250620,1
53002,20250630,1
53002,20250701,1
53002,20250702,1
53002,20250703,1
53002,20250704,1
53002,20250707,1
53003,20250617,1
53003,20250618,1
53003,20250619,1
53003,20250620,1
